date,open,low,high,close,volume
2020-04-03,25,25,27.99,25.56,"27,369.9887172"
2020-04-04,25.55,25.24,25.56,25.55,"6,784.162"
2020-04-05,25.54,25.39,26.14,26.1,"9,720.93"
2020-04-06,26.1,25.05,26.24,25.29,"8,294.12499079"
2020-04-07,25.29,24.33,25.39,25.38,"11,172.061955"
2020-04-08,25.4,24.55,25.55,24.56,"3,497.877"
2020-04-09,24.6,23.83,24.6,24.3,"6,278.6310214"
2020-04-10,24.3,23.51,24.45,23.88,"6,534.67160441"
2020-04-11,23.88,23.51,24.44,23.68,"4,253.35038988"
2020-04-12,23.91,23.53,24.4,24.05,"5,953.97429213"
2020-04-13,24.04,23.11,24.44,23.8,"7,811.65905876"
2020-04-14,23.8,23.8,24.3,24.01,"1,287.7365769"
2020-04-15,24.02,23.5,25.79,25.03,"9,609.1890947"
2020-04-16,25,23.55,25.69,24.35,"17,926.03519776"
2020-04-17,24.37,24.03,25.29,24.3,"11,552.94032243"
2020-04-18,24.08,23.84,24.5,24.49,"13,719.64744386"
2020-04-19,24.04,23.87,24.5,24.39,"6,385.34677347"
2020-04-20,24.18,23.99,24.63,24.55,"14,092.30782541"
2020-04-21,24.25,24.24,24.9,24.54,"12,638.94778712"
2020-04-22,24.82,24.44,24.91,24.89,"9,090.3365099"
2020-04-23,24.72,24.52,25.18,25.15,"8,305.33800082"
2020-04-24,25.04,23.95,25.55,25.41,"32,403.79633731"
2020-04-25,25.42,25,25.54,25.11,"3,100.39774424"
2020-04-26,25.4,25,25.44,25.25,"8,183.27814149"
2020-04-27,25.25,24.86,25.25,24.95,"5,174.85408375"
2020-04-28,25.24,24.25,25.39,24.53,"6,896.31738448"
2020-04-29,24.52,24.04,24.98,24.05,"41,725.07542018"
2020-04-30,24.05,24.04,24.71,24.64,"25,083.60657927"
2020-05-01,24.64,24.47,25.2,24.88,"20,403.42280027"
2020-05-02,24.89,24.08,25,24.71,"13,287.46161798"
2020-05-03,24.71,24.38,25,24.82,"7,692.52796012"
2020-05-04,24.87,24.13,25,24.24,"16,445.77827539"
2020-05-05,24.2,24,24.5,24.09,"33,085.75929602"
2020-05-06,24.08,24.03,24.8,24.55,"12,499.61315323"
2020-05-07,24.54,23.92,24.54,24.16,"38,742.57089322"
2020-05-08,24.15,23.67,24.3,23.88,"43,043.13528828"
2020-05-09,23.86,23.5,24.37,24.27,"62,684.2183729"
2020-05-10,24.16,23.5,24.5,23.75,"32,383.84984313"
2020-05-11,23.69,23.64,24.4,24.34,"18,922.36644275"
2020-05-12,24.2,23.9,24.5,24.24,"11,399.1650107"
2020-05-13,24.47,24.26,24.64,24.32,"15,644.10359453"
2020-05-14,24.42,23.79,24.56,24.07,"19,721.01887546"
2020-05-15,24.07,23.98,24.28,24.19,"15,365.33222875"
2020-05-16,24.15,23.96,24.2,24.04,"3,601.88793865"
2020-05-17,24.18,23.87,24.3,24.05,"9,906.5872491"
2020-05-18,24.06,23.7,25.7,23.87,"38,183.65187436"
2020-05-19,23.99,23.63,24.8,23.82,"17,409.22611888"
2020-05-20,23.73,23.19,24.99,23.48,"56,162.3543717"
2020-05-21,23.47,22.8,23.95,23.18,"23,148.39194173"
2020-05-22,23.02,22.76,23.93,22.89,"10,938.35045309"
2020-05-23,22.81,22.75,23.14,22.9,"10,535.30813846"
2020-05-24,23.1,22.75,23.1,22.75,"8,972.40822252"
2020-05-25,22.83,22.51,22.85,22.56,"8,865.6657333"
2020-05-26,22.62,22.16,22.62,22.38,"21,590.28674299"
2020-05-27,22.33,22.21,22.7,22.5,"13,073.26452739"
2020-05-28,22.48,22.16,22.49,22.34,"14,986.15446397"
2020-05-29,22.34,22.2,22.54,22.36,"12,831.09725656"
2020-05-30,22.33,22.19,22.49,22.29,"12,165.58947704"
2020-05-31,22.2,22.15,22.38,22.15,"4,391.6506575"
2020-06-01,22.22,22,22.29,22.26,"7,884.62865724"
